bear.6.undo;I should do less drugs...;;;;;;;;;;x
c_palm_harbor;Palm Harbor;;;;;;;;;;x
c_palm_harbor_adj;Palm Harboran;;;;;;;;;;x
c_town_n_country;Town N' Country;;;;;;;;;;x
c_town_n_country_adj;Town N' Countrian;;;;;;;;;;x
c_south_tampa;South Tampa;;;;;;;;;;x
c_south_tampa_adj;South Tampanian;;;;;;;;;;x
c_white_lake_wetlands_conservation_area;White Lake Wetlands Conservation Area;;;;;;;;;;x
c_white_lake_wetlands_conservation_area_adj;White Lake Wetlands Conservation Arean;;;;;;;;;;x
c_niceville;Niceville;;;;;;;;;;x
c_niceville_adj;Nicevillan;;;;;;;;;;x

atheist;Atheist Movement;;;;;;;;;;;;;x
atheist_desc;This character is part of an atheist movement to turn their realm into a secular state.;;;;;;;;;;;;;x
atheistrev;Atheist Revolutionary;;;;;;;;;;;;;x
atheistrev_desc;In a society that burns apostates, eventually the apostates are going to respond in kind.;;;;;;;;;;;;;x
GK_GOD;Reason;;;;;;;;;;;;;x
GK_HUMANITY;Humanity;;;;;;;;;;;;;x
GK_REASON;Reason;;;;;;;;;;;;;x
GK_CRUSADE;Liberation;;;;;;;;;;;;;x
GK_SCRIPTURE;Science;;;;;;;;;;;;;x
GK_PIETY_NAME;Reason;;;;;;;;;;;;;x
GK_PRIEST_TITLE;Scholar;;;;;;;;;;;;;x
GK_POPE;=Pope=;;;;;;;;;;;;;x
STAT_PIETY_GK_REASON;Reason;;;;;;;;;;;;;x
STAT_PIETY_DESC_GK_REASON;Reason is respected by other non-religious people. Like Prestige, it is added to your score on the death of a ruler.;;;;;;;;;;;;;x
none;No Religion;;;;;;;;;;;;;x
none_group;No Religion;;;;;;;;;;;;;x
none_DESC;Atheism is the lack of belief in any gods. It is not a religion, but it is often wrongly treated as one. Atheists still have moral codes, including a sense of right and wrong. Those codes often come from an inner sense of compassion for their fellow human beings.;;;;;;;;;;;;;x
d_militant_atheists;Communist Defense League;;;;;;;;;;;;;x
d_legion_freethinkers;Legion of Freethinkers;;;;;;;;;;;;;x
d_knights_reason;Knights of Reason;;;;;;;;;;;;;x
CB_NAME_ATHEISTLIBERATION;Secular Liberation of [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_ATHEISTLIBERATION;Secular Liberation of [Title.GetBaseName];;;;;;;;;;;;;x
secular_liberation_desc;Atheist rulers can liberate territory from religious ones. Nearby religious rulers will likely join in to help the defender. Conquered lands will be distributed to claimants and those who contributed most to the war, much like a crusade. If the target abandons religion, the war will invalidate.;;;;;;;;;;;;;x
nick_the_liberator;The Liberator;;;;;;;;;;;;;x

###########################   Culture/Religion Specific Title Holder Names   #####################
temple_baron_voodoo;Priest;;;;;;;;;;;;;x
temple_baron_voodoos;Priests;;;;;;;;;;;;;x
temple_baron_american_totemist_pagan_reformeds;Priests;;;;;;;;;;;;;x
temple_baron_american_totemist_pagans;Priests;;;;;;;;;;;;;x
temple_baron_american_spiritual_pagan_reformeds;Priests;;;;;;;;;;;;;x
temple_baron_american_spiritual_pagans;Priests;;;;;;;;;;;;;x

######################## Baptists and their heresies ###############################################
temple_baron_baptist;Pastor;;;;;;;;;;;;;x
temple_baron_lutheran;Pastor;;;;;;;;;;;;;x
temple_baron_methodist;Pastor;;;;;;;;;;;;;x
temple_baron_baptists;Pastors;;;;;;;;;;;;;x
temple_baron_lutherans;Pastors;;;;;;;;;;;;;x
temple_baron_methodists;Pastors;;;;;;;;;;;;;x
temple_barony_of_baptist;Church of;;;;;;;;;;;;;x
temple_barony_of_lutheran;Church of;;;;;;;;;;;;;x
temple_barony_of_methodist;Church of;;;;;;;;;;;;;x
temple_barony_baptist;Church;;;;;;;;;;;;;x
temple_barony_lutheran;Church;;;;;;;;;;;;;x
temple_barony_methodist;Church;;;;;;;;;;;;;x

temple_county_of_baptist;Mega Church of;;;;;;;;;;;;;x
temple_county_of_lutheran;Mega Church of;;;;;;;;;;;;;x
temple_county_of_methodist;Mega Church of;;;;;;;;;;;;;x
temple_county_baptist;Mega Church;;;;;;;;;;;;;x
temple_county_lutheran;Mega Church;;;;;;;;;;;;;x
temple_county_methodist;Mega Church;;;;;;;;;;;;;x
temple_count_baptist;Head Pastor;;;;;;;;;;;;;x
temple_count_lutheran;Head Pastor;;;;;;;;;;;;;x
temple_count_methodist;Head Pastor;;;;;;;;;;;;;x

temple_duchy_of_baptist;Synod of;;;;;;;;;;;;;x
temple_duchy_of_lutheran;Synod of;;;;;;;;;;;;;x
temple_duchy_of_methodist;Synod of;;;;;;;;;;;;;x
temple_duchy_baptist;Synod;;;;;;;;;;;;;x
temple_duchy_lutheran;Synod;;;;;;;;;;;;;x
temple_duchy_methodist;Synod;;;;;;;;;;;;;x
temple_duke_baptist;President;;;;;;;;;;;;;x
temple_duke_lutheran;President;;;;;;;;;;;;;x
temple_duke_methodist;President;;;;;;;;;;;;;x

######################## The Nones ###############################################
temple_baron_none;Adjunct;;;;;;;;;;;;;x
temple_baron_nones;Adjuncts;;;;;;;;;;;;;x
temple_barony_of_none;Laboratory of;;;;;;;;;;;;;x
temple_county_of_none;College of;;;;;;;;;;;;;x
temple_count_none;Professor;;;;;;;;;;;;;x
temple_duchy_of_none;University of;;;;;;;;;;;;;x
temple_duke_none;Lord Provost;;;;;;;;;;;;;x
job_spiritual_none;Court Rationalist;;;;;;;;;;;;;x
temple_barony_none;Laboratory;;;;;;;;;;;;;x
temple_county_none;College;;;;;;;;;;;;;x
temple_duchy_none;University;;;;;;;;;;;;;x

########################  Totemist Heresies [Totemist taken care of in original loz##################################
american_spiritual_pagan;Spiritual;;;;;;;;;;;x
american_spiritual_pagan_reformed;Spiritual;;;;;;;;;;;x
american_spiritual_pagan_DESC;The Spiritual Native American religions shun the usage of totem polls, saying that they are distractions from the true gods, instead relying mainly on oral tales to pass down the legends.;;;;;;;;;;;x
american_spiritual_pagan_reformed_DESC;Reformed Spiritualism has a organized set of beliefs and a holy book of their own.;;;;;;;;;;;x
american_spiritual;Spiritual High Church;;;;;;;;;;;x
american_spiritual_adj;Spiritualist;;;;;;;;;;;x

############### CULTURES #########################################################################
latin_american;Latin American;;;;;;;;;;;;;x
mexican;Mexican;;;;;;;;;;;;;x
americo_hispanic;Americano;;;;;;;;;;;;;x

caribbean;Caribbean;;;;;;;;;;x
cubano;Cubano;;;;;;;;;;x
hispaniolan;Hispaniolan;;;;;;;;;;x
antillais;Antillais;;;;;;;;;;x

deepsouth;Dixie;;;;;;;;;;;;;x
new_orleanser;New Orleanser;;;;;;;;;;;;;x
louisianan;Louisianan;;;;;;;;;;;x
dixie;Dixie;;;;;;;;;;;;;x
texan;Texan;;;;;;;;;;;x

afro-american;Afro-American;;;;;;;;;;;;x
southerner;Southerner;;;;;;;;;;;;x

floridian;Floridian;;;;;;;;;;;;x
tallahassean;Tallahassean;;;;;;;;;;;;x
jacksonvillean;Jacksonvillean;;;;;;;;;;x
tampanian;Tampanian;;;;;;;;;;;;;x
miamimen;Miamimen;;;;;;;;;;;;;x
orlandoan;Orlandoan;;;;;;;;;;;;;x

native;Native;;;;;;;;;;;;;x
calusa;Calusan;;;;;;;;;;;;;x


################## Religions ###########################
reform;Reformed;;;;;;;;;;;;;x
